@relation 'Affect_Clip_Labels_full-weka.filters.unsupervised.attribute.Remove-V-R4,106,157,55,26,176,23,77,74,147,205-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,5,6,7,10,11-weka.filters.supervised.instance.SMOTE-C0-K5-P1100.0-S1'

@attribute averagecorrect numeric
@attribute mincorrect numeric
@attribute sumcorrect numeric
@attribute averagepercentcorrectperskill numeric
@attribute sumhinttotal numeric
@attribute averagehinttotal numeric
@attribute mintotalfrattempted numeric
@attribute class {no,yes}

@data
0.5,0,2,0.380769,0,0,67,no
1,1,1,0.509091,0,0,73,no
0,0,0,0.493852,12,3,74,no
0.666667,0,2,0.800543,1,0.333333,37,no
0,0,0,0.703704,0,0,42,no
0,0,0,0.689655,1,1,43,no
0,0,0,0.282621,24,3,45,no
0,0,0,0.308824,6,3,44,no
0,0,0,0.522727,3,3,46,no
1,1,1,1,0,0,49,no
1,1,1,0.75,0,0,42,no
1,1,2,1,0,0,44,no
0.333333,0,1,0.587542,0,0,50,no
1,1,2,0.727273,0,0,54,no
1,1,1,0.444444,0,0,61,no
0.428571,0,3,0.246769,0,0,57,no
1,1,5,0.618315,0,0,67,no
1,1,1,0.833333,0,0,71,no
1,1,3,0.833333,0,0,27,no
1,1,1,0.5,0,0,34,no
1,1,2,1,0,0,35,no
0,0,0,0.290365,36,2.571429,37,no
0.5,0,2,0.329076,6,1.5,41,yes
0,0,0,0.241147,0,0,81,no
0.5,0,2,0.479503,2,0.5,85,no
0.2,0,1,0.033333,20,4,92,no
0.142857,0,1,0.020408,28,4,92,no
0.285714,0,2,0.445508,21,3,95,no
0.1875,0,6,0.345469,116,3.625,100,no
1,1,3,0.777778,0,0,109,no
1,1,3,0.807407,0,0,114,no
1,1,1,1,0,0,122,yes
1,1,1,0.583333,0,0,29,yes
1,1,1,0.8125,0,0,39,no
1,1,1,0.333333,0,0,57,no
1,1,1,0.5625,0,0,77,no
1,1,1,1,0,0,82,no
0.25,0,1,0.447896,1,0.25,91,no
1,1,1,1,0,0,43,no
1,1,1,1,0,0,50,no
1,1,2,1,0,0,59,no
1,1,1,1,0,0,62,no
1,1,2,0.654762,0,0,63,no
1,1,1,0.444444,0,0,55,no
1,1,1,0.333333,0,0,60,no
1,1,1,0.555556,0,0,62,no
1,1,1,0.473684,0,0,65,no
0,0,0,0.5,0,0,6,no
1,1,2,0.583333,0,0,23,yes
1,1,1,0.190476,0,0,28,no
0,0,0,0.333333,0,0,38,no
0,0,0,0,0,0,45,no
0,0,0,0.299784,9,3,36,no
0.166667,0,1,0.317537,24,4,58,no
0.2,0,1,0.328778,12,2.4,67,no
0.2,0,1,0.170156,18,3.6,73,no
1,1,1,0.5,0,0,77,no
0.333333,0,1,0.289492,0,0,21,no
0,0,0,0.318182,0,0,23,no
0,0,0,0.182353,2,1,32,no
0,0,0,0.27027,0,0,32,no
0,0,0,0,4,4,39,no
0,0,0,0,4,4,40,no
0,0,0,0.083333,3,3,40,no
0,0,0,0.111111,4,4,41,no
0.2,0,1,0.53751,0,0,56,no
1,1,1,1,0,0,62,no
0.4,0,4,0.356145,24,2.4,89,no
0.5,0,1,0.005004,0,0,98,no
0,0,0,0.263158,3,3,45,no
0.5,0,2,0.364923,1,0.25,47,no
0,0,0,0.36,4,4,50,no
0.333333,0,1,0.308472,6,2,50,no
1,1,1,1,0,0,55,no
0.5,0,2,0.541667,0,0,67,no
1,1,1,0.3125,0,0,76,no
1,1,1,0.5,0,0,82,no
0,0,0,0.8,0,0,26,no
0,0,0,0,0,0,39,no
0,0,0,0.466667,0,0,41,no
1,1,1,1,0,0,44,no
1,1,1,0.666667,0,0,48,no
0.5,0,1,0.477273,4,2,25,no
1,1,1,0.538462,0,0,26,no
0,0,0,0.315476,0,0,27,no
1,1,1,1,0,0,31,no
1,1,1,0.392857,0,0,33,no
1,1,1,1,0,0,39,no
1,1,1,1,0,0,42,no
0,0,0,0.214286,4,4,56,no
0.25,0,1,0.185823,16,4,62,no
0.333333,0,2,0.346233,14,2.333333,65,no
0.5,0,1,0.671329,0,0,82,no
0.285714,0,2,0.390816,18,2.571429,41,no
0,0,0,0,2,2,12,no
1,1,1,0.272727,0,0,48,no
1,1,1,0.230769,0,0,53,no
0.5,0,1,0.439103,0,0,32,no
1,1,2,0.414286,0,0,34,no
0.5,0,2,0.308333,4,1,19,no
1,1,1,0.25,0,0,46,no
1,1,1,0.290323,0,0,47,no
0.1,0,1,0.256817,30,3,52,no
0.333333,0,1,0.53367,0,0,61,no
1,1,1,1,0,0,60,no
0,0,0,0,4,4,2,no
0,0,0,0.090909,0,0,2,no
0,0,0,0,3,3,14,yes
1,1,2,0.791667,0,0,8,no
1,1,1,1,0,0,15,no
0.666667,0,2,0.611111,2,0.666667,16,no
0.333333,0,1,0.331349,3,1,19,no
1,1,1,0.714286,0,0,23,no
1,1,1,0.666667,0,0,3,no
1,1,1,0.4,0,0,5,no
0.5,0,2,0.6,0,0,13,no
0.090909,0,1,0.250864,55,5,17,no
0,0,0,0,3,3,4,no
0,0,0,0.157895,1,1,5,no
